"","combid","Poss_1_x","Poss_2_x","Poss_3_x","Poss_4_x","Poss_5_x","Poss_6_x","Poss_7_x","Poss_8_x","Poss_9_x","Poss_10_x","Poss_11_x","Poss_1_y","Poss_2_y","Poss_3_y","Poss_4_y","Poss_5_y","Poss_6_y","Poss_7_y","Poss_8_y","Poss_9_y","Poss_10_y","Poss_11_y"
"128","2017100811_3132",49.16,45.9,41.96,37.94,42.68,41.7,39.29,56.08,43.74,41.84,37.26,23.18,44.8,34.63,18.57,40.78,31.32,39.07,32.44,26.51,22.94,45.98
"129","2017100811_2163",44.18,43.52,38.64,44.68,44.61,37.08,36.84,38.64,40.12,39.4,56.73,32.03,29.05,32.87,12.71,37.8,27.53,11.25,39.62,15.87,24.31,27.49
"130","2017100811_1308",79.33,81.59,84.72,78.75,83.44,85.44,87.29,88.14,83.86,82.54,64.58,21.09,22.76,19.26,38.66,11.06,28.07,39.79,14.18,35.28,30.73,25.16
"131","2017100810_370",67.89,80.88,81.77,83.02,74.64,78.77,69.95,80.02,80.95,80.83,79.81,28.97,30.49,23.88,33.76,15.03,19.74,41.43,36.5,39.5,14.4,27.16
"132","2017100810_3680",65.83,73.26,72.41,74.12,66.74,70.17,63.6,72.64,73.92,72.59,71.8,25.77,29.86,33.15,20.87,10.57,16.67,41.74,38.27,43.09,12.25,24.1
"133","2017100810_3113",72.12,56.65,59.95,57.64,57.69,59.93,59.23,57.08,59.23,56.87,55.68,30.42,26.53,17.08,35.99,23.82,41,15.4,22.16,46.9,39.94,33.32
"134","2017100810_2889",63.06,76.16,76.82,77.43,80.25,72.83,64.61,77.52,78.33,73.93,77,17.82,20.13,17.93,23.52,7.71,25.65,34.74,33.1,12.48,5.19,35.41
"135","2017100810_2684",63.54,45.68,49.55,48.93,47.75,50.22,51.11,47.61,50.84,47.51,45.56,31.77,24.6,16.39,36.85,22.81,41.31,13.57,21.08,47.14,39.32,32.54
"136","2017100810_2060",57.52,72.5,68.64,69.98,69.46,69.39,67.51,68.8,67.44,70.58,71.9,22.79,28.06,39.25,17.26,29.38,30.2,39.76,32.43,5.96,13.1,20.53
"137","2017100810_1815",54.73,41.25,41.95,39.65,48.14,44.21,51.88,40.47,39.51,43.56,42.26,22.25,24.01,19.91,29.05,41.37,35.22,14.09,16.53,12.37,39.05,27.95
"138","2017100810_1643",58.86,76.9,74.24,73.32,71.5,71.94,72.46,72.51,72.39,74.19,75.63,23.73,26.91,34.22,16.47,31.04,15.55,37.72,33.67,6.73,12.25,21.14
"139","2017100810_1254",50.57,38.97,39.31,37.09,34.6,43.43,49.63,38.85,37.49,43.16,38.58,36.29,34.84,37.92,30.84,44.72,29.44,15.47,21.51,40.94,47.7,19.66
"140","2017100809_993",43.32,40.81,38.23,59.21,37.9,40.48,39.55,41.75,42.49,41.47,39.05,24.84,29.13,33.85,27.25,26.81,19.43,11.48,16.26,38.8,32.5,23.56
"141","2017100809_307",74.94,78.53,81,63.14,81.53,80.33,83.27,80.62,78.89,79.09,82.13,38.92,28.71,24.07,30.16,32.14,42.42,48.04,45.64,19.11,25.68,36.2
"142","2017100809_178",77.75,78.15,81.45,64.98,80.37,80.71,81.39,79.21,80.08,78.32,81.26,43.3,26.67,22.19,25.96,28.32,37.55,44.35,40.99,16.37,23.87,32.87
"143","2017100809_1153",69.32,80.76,79.98,81.87,75.04,83.38,78.63,83,79.07,82.47,77.53,28.73,35.37,17.38,26.25,38.52,24.72,20.97,18.82,36.11,38.71,34.26
"144","2017100808_4084",70.59,71.36,59.89,78.31,69.18,73.83,72.94,73.72,73.63,72.79,72,43.81,35.86,27.19,42.81,12.9,38.6,16.18,34.32,23.81,28.52,14.93
"145","2017100808_36",61.74,48.09,46.17,44.42,45.33,44.83,45.54,45.14,47.06,47.15,42.84,23.7,11.3,34.78,25.73,31.37,28.12,6.47,14.62,39.13,18.48,21.95
"146","2017100808_2762",42.74,58.24,37.22,44.13,42.07,46.13,41.22,38.05,40.68,41.56,40.7,18.92,25.48,9.53,38.89,11.79,7.75,34.48,19.69,28.54,25.29,36.96
"147","2017100808_2207",53.72,51.78,61.4,53.51,50,50.35,49.51,49.02,50.01,50.5,50.9,9.9,18.65,27.96,42.79,15.91,38.35,10.3,20.56,31.7,26.35,40.06
"148","2017100808_1044",54.37,61.4,62.78,65.52,64.42,65.39,63.38,63.4,62.28,62.93,65.8,25.6,10.75,37.91,27.06,33.72,31.45,7.41,14.45,42.18,18.88,21.65
"149","2017100807_4055",72.69,72.32,74.95,62.02,76.82,78.76,75.68,70.23,79.11,74.97,75.54,26,10.17,6.89,19.91,13.9,20.13,17.33,32.77,14.17,19.95,32.3
"150","2017100807_1993",63.74,65.42,60.98,58.91,63.17,60.96,66.45,58.92,59.71,59.67,62.86,43.74,9.81,11.49,25.34,25.37,19.64,28.82,36.66,38.62,36.23,47.14
"151","2017100807_1026",68.02,72.87,74.32,80.24,61.65,74.69,79.69,80.05,75.36,77.19,78.62,32.48,31.21,10.48,7.6,21.29,13.47,23.95,18.57,14.48,24.43,35.6
"152","2017100806_657",48.81,40.25,47.16,42.24,40.24,43.68,46.96,41.31,55.45,39.61,41.23,13.22,28.51,38.93,32.32,16.46,39.22,24.33,16.59,24.19,11.17,13.25
"153","2017100806_425",46.73,40.7,46.41,42.52,39.1,43.47,45.67,42.59,55.42,39.36,39.9,10.14,25.55,36.59,29.71,15.11,37.09,21.12,11.67,24.08,10.01,11.9
"154","2017100806_36",46.42,40.56,47.16,43.95,40.13,41.43,44.56,40.58,54.57,40.5,41.03,10.06,24.72,36.31,29.64,12.52,35.98,22.46,16.96,22.81,8.99,11.29
"155","2017100806_2343",45.38,36.56,44.58,41.81,37.95,40.23,42.28,35.56,53.5,42.7,35.22,12.27,30.44,40.45,35.35,18.42,39.45,24.5,23.1,24.95,14.97,16.44
"156","2017100805_767",78.24,76.71,71.05,70.38,77.45,75.73,70.94,76.7,78.06,65.99,75.16,41.89,26.41,38.01,43.26,35.36,21.45,15.1,31.69,12.91,30.5,18.65
"157","2017100805_4235",65.72,78.76,68.54,78.09,77.09,72.18,79.36,79.22,79.4,76.21,78.31,24.15,41.61,40,38.37,22.49,13.68,34.32,15.53,19.5,26.4,30.32
"158","2017100805_4052",62.17,78.28,68.74,76.95,74.4,70.62,77.36,78.2,78.21,73.91,76.9,21.92,44.3,41.9,39.79,23.38,13.84,36.54,14.25,19.79,28.52,32.09
"159","2017100805_379",60.04,52.66,52.32,71.1,51.93,56.52,50.21,49.22,50.79,51.08,NA,10.65,9.37,12.63,26.31,29.28,38.29,16.97,34.89,33.85,22.06,NA
"160","2017100805_3263",56.79,42.96,51.97,43.94,44.45,49.81,42.51,40.29,41.44,44.53,42.5,29.84,9.31,12.57,14.48,31.98,39.54,18.14,37.08,34.74,26.7,22.43
"161","2017100805_2873",75.68,76.74,71.32,71.66,74.48,75.04,70.14,75.81,77.8,62.96,75.06,24.95,44.55,38.52,45.02,35.49,22.1,14.14,31.63,12.46,28.37,17.57
"162","2017100805_2386",55.13,41.73,50,42.53,42.6,48,42.87,40.07,39.8,43.6,41.03,28.7,9.37,12.27,13.87,30.47,39.03,16.43,36.7,32.43,26.17,21.27
"163","2017100805_2336",61.92,76.59,67.72,75.95,73.34,68.08,76.61,75.26,74.74,76.18,NA,18.74,44.02,42.62,40.52,27.55,16.54,38.25,18.63,21.8,34.15,NA
"164","2017100805_1073",62.96,75.18,66.19,73.77,66.27,73.81,75.45,76.79,76.69,76.18,NA,23.32,41.75,40.8,39.15,14.63,22.05,35.84,15.65,17.52,30.81,NA
"165","2017100804_963",79.36,73.46,62.15,79.41,81.27,76.76,73.57,80.34,82.25,78.26,74.97,39.07,17.1,26.88,26.25,33.68,39.15,41.99,44.14,26.51,19.16,24.14
"166","2017100804_808",80.71,75.52,63.96,79.97,83.1,77.2,72.6,79.93,81.3,80.47,78.04,25.93,42.71,27.08,36.29,27.79,24.33,18.41,17.2,33.2,44.43,38.52
"167","2017100804_37",76.88,73.8,60.08,74.41,78.49,74.25,71.35,76.68,76.88,71.8,71.35,37.29,15.91,28,24.71,32.45,37.73,43.01,40.89,26.48,20.5,23.41
"168","2017100804_3251",70.17,66.62,59.91,69.6,72.11,67.84,64.02,70.91,72.13,70.17,69.08,21.88,41.33,25.31,33.13,23.97,20.02,14.85,15.4,29.71,43.59,37.03
"169","2017100804_2074",70.35,79.01,83.82,87.18,87.72,85.96,83.87,85.77,85.35,88.43,75.75,35.66,24.59,40.61,47.47,45.29,39.59,34.52,29.66,23.25,35.91,46.25
"170","2017100804_1303",66.35,74.76,77.78,78.06,79.51,79.57,78.6,78.02,78.3,80.57,69.69,28.76,19.86,34.45,43.82,39.97,37.26,26.85,23.1,19.65,30.5,45.7
"171","2017100803_3395",41.67,41.35,43.66,46.94,44.17,41.15,49.44,46.22,50.75,59.91,41.83,7.23,13.94,21.03,40.8,37.64,29.62,20.43,28.33,33.83,24.77,17.75
"172","2017100803_2854",78.73,80.16,78.28,74.87,79.91,80.16,71.99,77.21,73.44,63.32,80.94,42.28,38.04,31.03,13.95,16.44,23.85,33.38,24.25,18.55,27.77,34.57
"173","2017100803_2515",81.79,82.1,81.72,76.3,75.37,79.03,77.89,77.08,62.05,81.9,81.47,43.99,40.41,32.69,13.43,40.14,39.17,28.4,21.18,29.66,30.55,18.79
"174","2017100803_2064",82.09,81.21,80.7,76.78,85.38,83.05,78.7,78.78,63.9,83.28,80.87,10.35,13.67,19.47,42.16,8.37,23.35,27.21,30.88,22.9,14.73,36.7
"175","2017100802_728",56.8,40.35,42.3,39.88,44.12,41.69,41.58,44.91,40.31,40.74,43.89,36.75,34.04,23.45,30.4,46.08,43.28,40.36,25.63,37.41,22.17,25.11
"176","2017100802_3862",74.83,54.07,81.33,70.82,73.21,63.63,74.91,76.38,74.24,68.41,79.66,18.14,24.79,16.96,32.77,7.07,36.98,14.44,27.18,30.3,27.92,8.78
"177","2017100802_36",60.9,39.48,42.53,39.47,44.67,42.21,41.56,47.49,41.61,42.73,43.03,25.95,19.63,28.79,25.04,9.57,10.22,15.47,35.48,17.38,37.92,26.5
"178","2017100802_3502",75.9,54.33,80.46,72.41,74.08,62.29,74.34,78.43,77.84,71.56,79.26,17.42,26.12,17.27,29.84,5.64,33.73,14.72,24.21,28.02,20.27,12.04
"179","2017100802_264",76.49,80.84,62.08,79.95,74.36,71.25,77.8,78.49,81.22,77.87,79.5,29.18,24.84,33.11,39.87,16.82,43.92,26.05,37.1,44.31,32.16,19.61
"180","2017100802_2477",61.1,73.86,76.97,79.39,80.59,76.55,77.2,74.29,78.12,77.75,76.26,29.86,44.73,24.58,27.92,31.73,45.07,39.03,13.96,36.02,14.65,26.27
"181","2017100802_2080",47.18,61.41,45.67,47.33,48.12,52.4,45.54,44.21,41.98,44.78,42.45,23.17,17.75,13.56,32.98,37.93,8.4,26.43,16.3,8.23,20.87,30.79
"182","2017100802_1204",56.49,82.65,79.3,81.82,75.81,78.63,76.65,75.13,79.06,80.05,79.1,27.95,22.06,36.34,30.84,24.14,13.69,16.66,35.79,20.38,45.23,33.97
"183","2017100802_1055",42.72,39.4,62.3,39.63,46.35,48.25,42.33,40.79,39.1,40.98,39.92,21.29,24.7,13.61,11.75,35.05,7.76,27.04,15.17,7.35,20.04,32.6
"184","2017100801_3834",71.32,75.77,67,75.13,70.03,68.65,69.98,67.96,71.82,72.27,77.11,41.75,16.22,35.27,12.17,27.54,34.47,38.36,37.71,30.26,26.37,10.41
"185","2017100801_36",71.08,73.73,69.94,68.82,69.06,71.63,72.45,71.42,60.93,70.41,75.03,17.58,35.78,38.27,11.56,26.62,48.63,40.79,28.54,31.87,21.67,45.16
"186","2017100801_2524",85.75,83.04,80.94,89.26,82.75,79.05,78.34,82.23,67.36,83.44,76.62,9.21,22.48,24.85,3.62,12.38,17.49,28.79,16.32,24.89,9.8,31.86
"187","2017100801_2155",45.34,49.83,41.62,42.29,41.91,54.59,42.03,44.69,44.68,45.98,42.76,28.34,34.61,16.48,27.29,22.85,23.95,34.24,31.36,11.99,10.36,5.51
"188","2017100800_930",52.62,53.37,52.48,51.86,53.7,65.49,56.34,51.88,50.33,52.2,49.32,45.41,48.14,20.03,26.39,22.76,32.62,14.99,39.79,35.27,24.78,31.33
"189","2017100800_3967",44.76,49.33,61.25,45.15,44.05,42.78,43.93,49.32,48.23,46.69,45.67,32.76,38.56,34.7,41.08,16.7,21.66,30.44,25.56,40.16,24.87,36.01
"190","2017100800_3664",70.71,72.64,68.39,73.76,75.12,57.62,70.82,72.64,73.91,73.26,73.1,48.24,13.42,12.48,42.49,31.96,24.31,20.56,21.72,34.02,27.85,37.23
"191","2017100800_36",47.3,48.74,47.7,46.58,49.13,62.75,52.14,46.47,45.75,47.31,44.88,44.57,47.3,20.16,29.38,22.59,32.19,15.75,39.52,36.12,25.69,31.72
"192","2017100800_309",76.36,71.36,60.51,77,73.28,76.01,75.73,70.2,74.89,71.76,74.6,19.98,13.18,21.14,12.15,31.77,34.07,21.9,25.85,14.06,29.04,17.39
"193","2017100800_2970",51.65,48.65,49.62,47.1,46.6,51.04,64.79,49.12,47.25,48.56,47.33,12.86,45.59,48.18,18.01,29.62,17.39,32.31,39.78,36.26,25.71,33.32
"194","2017100800_2194",78.21,72.13,61.5,78.88,76.73,79.07,79.7,71.4,76.75,76.83,76.03,29.83,23.73,31.86,19.76,42.76,42.26,32.8,40.86,21.92,36.79,23.92
"195","2017100800_1689",66.73,72.52,69.17,73.45,73.62,69.79,59.49,72.42,73.45,73.13,74.76,39.34,9.92,7.98,36.23,24.17,32.5,22.35,14.84,18.35,28.77,20.73
"196","2017100800_1285",47.27,50.37,60.15,47.39,48.16,46.08,44.82,50.94,49.27,48.71,48.5,25.92,30.72,23.67,35.44,13.88,11.8,23.6,13.05,34.51,18.9,31.33
"197","2017100500_901",48.8,57.94,38.2,40.13,41.77,42.81,43.81,43.61,41.46,42.63,45.22,46.02,36.75,21,28.85,16.33,25.16,40.01,42.03,35.46,44.6,23.9
"198","2017100500_4428",72.03,71.18,62.75,79.85,80.91,78.55,77.15,78.04,78.75,76.3,78.24,18.92,47.66,29.04,23.07,29.15,19.13,39.82,43.17,34.81,47.21,27.34
"199","2017100500_4258",76.49,69.45,73.48,67.61,68.11,68.08,71.19,72.46,74.91,67.32,72.38,12.63,51.29,25.28,43.96,46.99,49.05,43.25,12.95,15.93,41.58,11.06
"200","2017100500_37",71.79,63.49,78.47,76.3,77.93,76.09,76.05,73.63,76.93,73.87,78.2,41.78,25.95,22.6,39.12,28.25,22.29,12.68,15.59,35.84,10.51,41.94
"201","2017100500_2718",47.2,53.18,61.52,40,40.59,41.19,42.41,45.05,43.02,43.21,40.68,15.52,37.3,23.97,11.37,19.98,8.16,32.3,35.02,25.42,38.95,14.81
"202","2017100500_2361",46.07,51.1,57.62,38.18,37.89,40.39,40.77,41.24,39.15,39.55,41.93,25.17,6.24,22.72,32.98,23.25,35.88,16.13,11.98,17.99,7.96,25.39
"203","2017100500_2180",69.99,70.33,62.41,79.32,79.73,80.26,78.4,78.38,78.29,76.47,79.63,14.12,39.32,18.9,11.26,16.83,9.75,27.17,30.75,14.48,33.91,21.73
"204","2017100500_1820",70.67,70.93,59.34,77.09,77.58,76.75,76.1,76.68,78.11,77.27,79.34,21.92,39.46,29.43,17.08,27.11,23.15,37.93,41.65,35,45.2,32.36
"205","2017100500_1536",50.38,59.79,45.87,49.6,43.92,45.99,45.47,46.13,45.63,48.03,46.34,43.7,29.32,30.38,38.98,22.58,26.74,12.97,15.86,35.45,9.14,42.74
"206","2017100200_692",41.73,56.2,44.77,43.99,44.34,39.96,44.69,40.03,41.05,39.38,41.42,34.01,29,20.07,12.22,23.54,30.19,32.73,35.03,14.32,17.72,8.31
"207","2017100200_3861",51.01,50.06,44.08,54.22,49.16,41.39,43.4,47.24,48.17,45.35,59.9,30.29,27.45,38.19,8.04,39.9,18.11,9.07,14.19,34.77,18.97,26.48
"208","2017100200_2838",71.41,73.22,77.86,74.77,73.43,81.62,80.23,76.43,78.21,76.95,60.75,21.63,24.07,14.58,44.74,15.86,30.9,44.26,39.48,15.98,32.62,27.86
"209","2017100200_2050",41.33,57.55,44.51,42.84,44.9,39.69,46.12,38.4,40.4,38.19,39.05,34.27,29.97,22.76,14.05,26.23,28.35,29.85,37.39,15.43,18.2,12.17
"210","2017100113_718",58.28,41.36,62.69,60.21,61.76,63.37,65.91,66.06,64.46,62.65,64.16,37.46,20.05,30.31,11.47,32.43,17.4,13.48,28.93,20.22,25.17,37.82
"211","2017100113_54",71.05,75.47,62.85,73.93,74.96,75.88,80.54,76.27,77.77,76.01,77.17,40.86,35.73,30.54,12.21,36.93,18.84,29.61,22.24,26.49,42.86,13.18
"212","2017100113_4046",73.18,62,75.69,73.38,67.8,76.06,76.99,78.62,77.21,77.11,76.86,25.86,19.38,4.86,16.25,37.58,32.38,36.1,25.42,16.93,20.98,10.31
"213","2017100113_3618",74.92,62.36,75.65,74.02,71.71,75.92,76.84,79.8,78.36,77.58,77.41,28.3,20.45,7.4,17.92,38.95,31.83,35.05,25.7,18.7,22.21,13.72
"214","2017100113_3250",48.91,60.95,49.3,49.52,49.82,47.3,46.46,45.8,46.87,46.58,46.3,14.95,25.79,38.58,14.2,6.73,34.76,36.94,16,28.14,23.19,10.97
"215","2017100113_3169",43.63,58.28,45.12,44.06,47.79,41.8,40.75,40.97,41.49,42,40.52,16.95,23.65,37.2,15.44,10.21,32.8,37.37,19.13,28.11,24.06,12.22
"216","2017100113_3004",78.42,78.42,80.26,82.22,80.61,77.28,77.72,77.78,64.7,83.93,80.5,35.61,14.32,8.65,32.07,21.72,38.93,11.22,18.33,25.31,30.26,41.77
"217","2017100113_2227",77.37,79.55,80.06,79.46,81.28,78.91,75.97,79.64,63.79,83.05,81.02,15.87,36.77,42.27,19.82,28.44,12.79,44.13,32.71,25.84,23.66,8.28
"218","2017100113_2026",75.88,76.68,79.55,80.55,77.11,76.11,79,77.74,60.76,81.62,81.27,13.91,8.31,16.9,23.27,42.09,10.89,37.1,33.83,26.82,31.29,45.17
"219","2017100113_1179",48.82,47.16,61.36,49.39,47.8,46.06,44.29,43.93,46.18,45.15,44.45,9.23,14.7,23.7,36.8,13.76,32.8,37.28,18.29,26.71,22.59,10.77
"220","2017100112_845",56.04,70.19,71.32,71.73,70.38,72.86,72.1,69.75,72.77,72.1,71.92,30.22,7.91,40.52,37.78,28.08,19.43,34.45,21.67,40.72,47.15,23.45
"221","2017100112_3411",62.55,78.29,74.18,79.45,74.53,79.57,75.22,71.33,79.64,70.75,80.63,28.97,36.62,19.62,20.66,36.71,28.14,17.06,30.47,15.2,49.3,35.92
"222","2017100112_2573",54.94,59.8,60.96,60.68,63.77,62.19,61.11,61.66,59.44,58.9,63.4,25.48,32.26,30.15,26.01,10.4,19,13.71,37.45,46.13,6.09,16.18
"223","2017100112_2285",59.89,74.42,76.28,73.65,77.62,75.32,73.06,75.83,72,71.77,76.24,29.94,39.69,37.35,33.69,19.16,26.83,22.79,40.88,12.97,46.99,23.05
"224","2017100111_781",49.8,59.18,44.01,48.36,43.05,44.18,45.37,44.49,45.65,41.76,44.3,11.29,27.3,21.2,42.57,23.8,29,12.1,14.61,39.37,33.41,41.25
"225","2017100111_4011",76.19,74.11,70.8,69.84,73.32,75.49,68.59,74.8,74.89,71.79,58.17,9.72,19.02,12.31,6.31,16.13,28.13,39.86,23.56,41.81,35.76,20.52
"226","2017100111_38",44.83,43.38,53.44,34.73,35.96,37.9,38.11,36.78,38.45,34.17,35.88,15.53,43.18,31.05,24.88,27.33,34.04,12.86,16.16,41.41,35.6,44.62
"227","2017100111_3667",51.57,60,46.33,45.18,46.11,47.03,46.18,47.84,46.56,51.72,45.86,45.58,28.9,22.84,32.64,27.5,38.17,13.01,17.51,41.94,15.51,45.62
"228","2017100111_2867",41.43,43.54,46.53,46.69,43.7,43.01,47.53,44.21,44.52,49.03,57.92,44.69,34.91,42.48,47.11,37.73,26.69,15.18,32.54,17.49,17.4,33.52
"229","2017100111_2345",42.23,44.63,45.05,49.37,44.46,43.11,48.41,44.67,43.75,47.88,58.78,44.51,35.02,47.22,41.35,38.41,25.38,15.05,30.86,15.81,17.18,33.72
"230","2017100111_1797",40.27,43.12,47.39,46.54,43.19,43.09,48.74,43.04,44.41,47.49,59.37,44.9,34.19,42.52,46.93,38.12,26.62,16.24,31.09,18.93,19.77,31.09
"231","2017100111_1516",42,44.5,46.42,46.47,43.97,42.59,46.67,43.01,43.73,46.68,57.9,42.44,33.36,40.94,45.7,37.29,25.58,14.5,30.09,16.38,19.81,30.12
"232","2017100110_868",52.82,45.95,50.38,47.74,45.79,46.18,49.2,44.48,57.11,45.6,44.81,9.17,23.95,36.88,29.9,14.8,37.02,22.1,17.52,25.6,9.18,12.01
"233","2017100110_448",51.2,42.52,47.46,45.03,43.71,44.58,46.18,40.62,55.79,43.07,43.53,13.02,27.2,38.48,32.33,17.87,38.02,25.21,18.24,28.24,11.93,14.5
"234","2017100110_3726",76.87,66.99,76.46,75.25,70.27,78.68,78.79,78.48,76.81,62.82,77.34,33.14,39.32,13.16,35.08,13.01,17.86,39.4,21.21,25.63,26.65,30.35
"235","2017100110_37",48,39.8,45.26,42.84,40.73,41.69,44.06,37.67,53.17,40.92,40.24,12.43,25.32,36.94,30.37,17.39,35.82,23.59,17.65,25.02,11.27,14.81
"236","2017100110_3211",75.93,67.79,77.4,75.92,69.95,77.64,78.92,79.13,76.52,64.33,76.55,34.56,40.78,15.62,37.04,14.88,20.95,41.62,21.38,27.56,27.9,32.4
"237","2017100110_2943",76.51,83.96,77.4,82.31,83.14,81.41,78.78,85.16,66.96,82.95,78.12,44.29,27.9,19.23,23.72,36.65,20.06,31.17,33.35,28.39,45.96,42.23
"238","2017100110_2189",43.72,51.42,43.04,44.87,49.41,42.21,41.16,40.11,44.88,57.55,43.13,19.24,15.13,39.51,17.63,41.56,33.71,14.61,32.55,27.84,27.23,22.8
"239","2017100110_1609",72.93,79.07,72.7,77.44,79.31,77.01,74.8,80.95,65.33,78.9,76.42,44.73,28.31,19.03,24.95,38.52,19.85,31.48,37.29,28.25,45.86,39.38
"240","2017100110_1419",42.99,52.75,41.26,44.47,48.51,40.74,40.56,39.02,41.78,57.76,42.33,19.96,15.41,39.28,17.93,40.66,36.33,15.87,32.84,28.92,27.21,23.55
"241","2017100110_1348",74.05,80.53,73.99,78.6,79.97,77.37,76.08,81.39,65.28,79.66,80.01,45.16,29.34,18.81,23.87,38.46,17.03,31.46,35.85,27.52,44.01,40.57
"242","2017100109_4680",60.75,45.43,50.92,48.23,45.15,44.96,44.56,45.21,44.88,41.1,46.09,29.89,30.09,41.96,7.45,33.96,27.73,38.22,19.76,13.4,23.53,15.44
"243","2017100109_3806",56.24,67.78,71.04,70.14,60.61,68.35,68.52,69.83,69.52,73.69,68.28,26.15,22.02,45.52,23.29,8.04,16.9,11.78,35.25,42.03,32.08,39.19
"244","2017100109_2943",65.4,47,49.41,55.21,46.91,47.26,43.29,45.63,44.65,40.68,47.22,31,34.13,44.06,8.94,37.6,29.83,42.47,22.88,14.03,26.05,16.77
"245","2017100109_2694",67.7,67.44,65.54,61.54,54.83,67.05,62.81,66.46,65.27,67.6,65.22,29.78,47.42,45.23,17.52,25.86,15.13,22.72,34.75,40.76,37.17,25.89
"246","2017100109_2192",58.18,75.09,72.5,76.25,66.32,74.43,77.1,75.57,76.66,79.36,74.24,21.22,21.09,10.02,22.54,41.69,16.12,12.51,29.93,37.24,26.67,35.25
"247","2017100109_1253",55.2,71.98,71.05,65.54,73.58,72.9,75.75,73.27,76.39,79.9,73.44,20.03,18.97,9.18,43.3,15.2,22.6,11.68,29.68,36.84,26.22,34.67
"248","2017100109_1238",60.16,75.95,75.21,69.86,76.14,76.91,79.64,77.29,83.38,82.19,78.38,22.51,21.65,10.77,44.6,17.11,24.44,14.19,32.12,40.64,28.59,37.26
"249","2017100108_461",41.16,40.94,40.14,38.74,50.67,42.64,45.8,42.92,39.74,44.3,40.02,31.06,19.64,28.23,23.68,26.54,41.11,15.34,36.12,38.3,12.55,7.18
"250","2017100108_45",75.71,73.7,72.05,76.14,60.7,73.36,76.45,77.57,71.79,76.64,77.61,30.82,18.32,13.91,10.22,23.25,28.76,26.19,18.72,12.12,21.45,33.15
"251","2017100108_3856",76.72,75.29,68.54,73.96,60.89,76.3,75.92,71.31,72.58,74.27,78.83,42.25,25.8,21.12,16.8,30.51,39.64,36.14,34.29,22.97,31.13,47.79
"252","2017100108_382",74.33,75.13,73.81,75.76,59.11,71.65,74.96,77.9,73.01,75.89,76.85,31.85,17.18,12.74,8.42,23.28,28.63,24.97,18.07,11.01,20.37,34.97
"253","2017100108_3171",78.07,78.82,71.32,77.43,61.1,77.49,78.65,74.09,74.52,76.8,81.55,42.53,27.37,24.29,19.62,29.46,40.4,35.42,33.67,22.64,31.78,46.55
"254","2017100108_2848",75.65,70.11,77.96,77.19,78.52,64.48,75.92,76.12,77.99,73.37,77.52,19.89,41.88,34.22,23.9,28.2,23.2,6.76,36.51,40.12,14.46,9.12
"255","2017100108_1414",44.72,44.32,46.88,41.74,59.74,47.58,43.17,42.23,45.24,44.06,41.94,19.49,35.14,39.32,41.41,29.28,23.49,26.52,33.9,42.01,31.49,18.18
